timestamp,AQI,CO,NO,NO2,O3,SO2,PM2.5,PM10,NH3,Asthma,COPD,Lung Cancer,Pneumonia & Bronchitis,Reduced Lung Function in Children,Heart Attacks,Hypertension,Strokes,Arrhythmia,Alzheimer’s & Dementia,Parkinson’s Disease,Cognitive Impairment in Children,Low Birth Weight,Preterm Births,Sudden Infant Death Syndrome (SIDS),Bladder Cancer,Diabetes,Eye & Skin Irritation
31/12/2023 19:00,5,934.6,0,32.22,57.94,14.19,82.32,101.28,4.94,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
31/12/2023 20:00,5,894.55,0,29.82,57.22,14.54,81.66,100.02,4.62,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
31/12/2023 21:00,5,881.2,0,26.39,59.37,15.26,84.12,102.75,4.62,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes
31/12/2023 22:00,5,894.55,0,25.02,58.65,16.21,90.38,110.1,4.69,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes
31/12/2023 23:00,5,934.6,0,25.36,55.79,16.93,98.08,119.59,4.69,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes
01/01/2024 0:00,5,974.66,0,27.42,50.78,17.64,106.27,129.63,4.75,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes
01/01/2024 1:00,5,1054.76,0,32.9,44.7,19.79,116.28,141.62,5.32,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes
01/01/2024 2:00,5,1482.01,0.4,55.52,24.68,27.42,140.76,170.36,9.88,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes
01/01/2024 3:00,5,1789.09,7.82,69.92,16.99,36.72,157.07,190.12,13.3,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes
01/01/2024 4:00,5,867.84,2.74,35.99,90.84,48.64,126.55,152.67,3.55,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes
01/01/2024 5:00,5,707.63,2.57,26.39,111.58,47.68,117.5,141.19,2.01,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes
01/01/2024 6:00,5,620.84,2.35,20.91,123.02,44.35,104.12,125,1.2,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
01/01/2024 7:00,5,560.76,1.9,18.68,127.32,42.44,90.8,108.67,0.68,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
01/01/2024 8:00,5,520.71,1.34,16.96,125.89,37.67,81.34,97.78,0.38,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
01/01/2024 9:00,5,494,0.87,15.94,117.3,31.47,77.49,93.63,0.18,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
01/01/2024 10:00,5,500.68,0.94,17.48,107.29,31.47,80.56,97.58,0.4,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
01/01/2024 11:00,5,554.08,1.01,21.42,101.57,33.38,87.43,105.87,0.98,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
01/01/2024 12:00,5,614.17,0.35,26.73,95.84,32.42,93.49,112.22,1.39,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes
01/01/2024 13:00,5,761.03,0,32.56,86.55,27.18,101.37,120.38,3.23,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes
01/01/2024 14:00,5,934.6,0,37.36,80.11,25.51,110.78,130.94,6.65,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes
01/01/2024 15:00,5,1054.76,0,37.7,77.96,26.94,117.9,139.45,9.5,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes
01/01/2024 16:00,5,1094.82,0,34.62,78.68,25.75,117.83,140.06,10.26,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes
01/01/2024 17:00,5,1134.87,0,33.24,77.96,24.08,115.31,137.94,10.51,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes
01/01/2024 18:00,5,1094.82,0,32.56,75.82,21.7,107.4,129.47,8.74,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes
01/01/2024 19:00,5,947.95,0,30.85,73.67,17.4,95.46,115.51,5.57,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes
01/01/2024 20:00,5,847.82,0,26.05,73.67,15.26,87.88,106.58,4.62,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes
01/01/2024 21:00,5,801.09,0,21.25,74.39,14.54,84.59,102.77,4.62,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
01/01/2024 22:00,5,821.11,0,20.22,72.24,15.26,86.34,104.92,5.07,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
01/01/2024 23:00,5,867.84,0,21.25,68.66,16.69,91.02,110.41,5.57,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
02/01/2024 0:00,5,934.6,0,25.02,65.09,18.6,99.38,120.11,6.08,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes
02/01/2024 1:00,5,1081.47,0,32.9,59.37,20.98,111.86,134.63,7.09,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes
02/01/2024 2:00,5,1615.52,0.15,62.38,33.97,30.04,142.03,170.22,13.05,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes
02/01/2024 3:00,5,1949.31,3.35,87.74,17.7,40.05,157.44,189.71,16.97,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes
02/01/2024 4:00,5,847.82,0.89,40.1,85.83,46.73,106.79,130.36,4.81,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes
02/01/2024 5:00,5,667.57,0.94,30.16,97.27,43.87,93.83,115.36,2.85,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes
02/01/2024 6:00,5,580.79,0.94,24.68,101.57,40.53,86.36,105.89,1.61,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
02/01/2024 7:00,5,534.06,0.88,23.31,101.57,41.01,81.94,99.41,0.87,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
02/01/2024 8:00,5,507.35,0.75,21.25,101.57,36.72,78.25,94.42,0.5,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
02/01/2024 9:00,5,487.33,0.64,19.02,101.57,30.52,76.04,91.22,0.32,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
02/01/2024 10:00,5,494,0.77,18.85,100.14,29.09,77.99,93.42,0.46,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
02/01/2024 11:00,5,520.71,0.75,20.73,97.27,29.8,81.72,98.86,0.78,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
02/01/2024 12:00,5,560.76,0.24,24.33,92.98,30.04,85.54,104.8,1.11,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
02/01/2024 13:00,5,767.71,0,34.62,78.68,25.75,95.69,118.11,4.02,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes
02/01/2024 14:00,5,1028.06,0,43.18,68.66,25.03,111.73,137.24,8.36,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes
02/01/2024 15:00,5,1188.28,0,44.55,67.23,27.18,125.26,152.91,11.53,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes
02/01/2024 16:00,5,1214.98,0,41.13,69.38,26.7,127.19,155.52,12.16,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes
02/01/2024 17:00,5,1228.33,0,38.73,66.52,25.75,120.43,148.28,12.54,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes
02/01/2024 18:00,5,1174.93,0,38.39,60.8,23.84,107.69,133.77,11.15,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes
02/01/2024 19:00,5,1001.36,0,35.64,57.22,20.03,90.39,113.32,7.73,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes
02/01/2024 20:00,5,841.14,0,29.47,58.65,17.4,78.6,98.74,6.02,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes
